symbol,assetType,name,price,changePct,rsi,belowHigh,aboveLow,volume
DDOG,stock,"Datadog, Inc.",243.905,-1.1650052678499068,33.31187615544941,3.8760168992859203,0.7205964286015845,1999230
PANW,stock,"Palo Alto Networks, Inc.",383.585,-0.0560187597707222,57.946986215307284,0.5354580394570622,0.9474097101775594,1370708
CRWD,stock,"CrowdStrike Holdings, Inc.",220.365,-0.691753041910769,25.973552933723965,1.8265637871300113,0.04312694679097909,1813065
NET,stock,"Cloudflare, Inc.",314.96,2.6028602143531785,28.986378549221016,1.498045347928075,0.6776638815132806,1353047
ROKU,stock,"Roku, Inc.",150.97,0.03975879663375673,65.59210135014573,0.17192073985605377,0.26898519046705915,609558
PINS,stock,"Pinterest, Inc.",22.86,-3.747368421052634,46.06743017813363,2.224119672507088,0.15333728758236864,3994939
ADBE,stock,"Adobe Inc.",256.12,-2.8781616169276765,49.12133134052265,2.6067139250553963,0.2976188078915731,1547162
AMAT,stock,"Applied Materials, Inc.",552.2,5.058883963394919,64.46659234977503,0.000002210617699144236,1.1911283942765951,2498901
LRCX,stock,"Lam Research Corporation",327.32,5.109020262676204,55.06728477444557,0.13396859034582112,0.8395073149768099,2462110
KLAC,stock,"KLA Corporation",208.15,3.8309971566818013,65.4010349490489,0.11995868704705688,1.252585718099818,2905709
TXN,stock,"Texas Instruments Incorporated",278.4,-1.0098136822642696,41.16632160110421,2.9407121538026058,0.5344455079090276,2022617
ADI,stock,"Analog Devices, Inc.",384.98,-0.0830521671424846,41.923292108938824,2.2421974082260174,0.24737682569665906,647353
MRVL,stock,"Marvell Technology, Inc.",220.58,3.8952475154255617,48.24147930041984,1.6913649025069581,0.1816728756130808,10671069
CDNS,stock,"Cadence Design Systems, Inc.",326.155,-0.41980887246969745,60.317600119782625,1.984916928652928,0.3476674485764279,454388
SNPS,stock,"Synopsys, Inc.",413.372,0.5991579664646733,62.86593683326921,0.9175484408019682,0.6934812637980493,298076
WDAY,stock,"Workday, Inc.",174.25,-3.8726761184972744,56.74852560302056,2.1452278132743148,0.45688177681505093,1226016
TEAM,stock,"Atlassian Corporation",153.025,-0.684709241952237,61.67550460061621,1.8567202430367302,0.7406228760498115,1434661
ZS,stock,"Zscaler, Inc.",176.83,-0.9633155978717439,45.29267421453975,0.9522202380107795,1.370097182494912,674878
OKTA,stock,"Okta, Inc.",149.82,-0.33925364198764,34.687718191851175,1.2327789645389375,1.0031545858147901,877466
MDB,stock,"MongoDB, Inc.",439.13,-0.006831223244382356,51.553575618489276,0.6762858839702516,0.6128956043652528,506973
FSLR,stock,"First Solar, Inc.",227.745,-5.464696359636376,46.12676154267613,3.9091155316526995,0.536353342714171,1440858
ENPH,stock,"Enphase Energy, Inc.",41.09,-2.860520094562633,36.78573082907131,3.5445974840548256,0.9086413757491767,1309580
NEE,stock,"NextEra Energy, Inc.",85.545,-0.22743177046885138,43.03007324110379,0.6214024789356041,0.0000021404579208583293,2106750
DUK,stock,"Duke Energy Corporation",123.47,0.22729117623183792,72.50996984729112,0.1859312481134681,0.4597056477073879,1065183
SO,stock,"The Southern Company",92.19,0.29373368146213663,70.58844648691344,0.18406302428338375,0.381101563660419,731028
T,stock,"AT&T Inc.",24.19,-1.2653061224489743,9.433256078425714,1.0229154197817438,0.02067618014488808,8861903
VZ,stock,"Verizon Communications Inc.",46.78,-1.0365982652845398,24.63657162970786,0.5210026962871555,0.02138024831827721,4217428
CMCSA,stock,"Comcast Corporation",25.195,-1.7738791423001883,32.95796941688572,1.0408448311149843,0.0000012112553491989484,8981705
TMUS,stock,"T-Mobile US, Inc.",176.59,-1.1198835321126603,29.999771116417833,1.058939809940525,0.033989248919750886,844695
AXP,stock,"American Express Company",341.11,0.08802558610369747,76.1688214070956,0.035170114721509584,0.6625086185717383,528674
MA,stock,"Mastercard Incorporated",556.13,-0.9457822741521906,35.99032866802956,1.1772449512363001,-8.779983927636448e-7,985862
BLK,stock,"BlackRock, Inc.",1153.54,0.40910831795550695,46.681345781222475,0.34039296879713155,0.5359978100774069,112144
SCHW,stock,"The Charles Schwab Corporation",108.55,0.789229340761369,66.03784449066843,0.05524409355895604,1.0049304615517396,1139688
C,stock,"Citigroup Inc.",137.75,1.4583486779111656,44.716921811893876,0.44807049148366124,0.7238999217088863,2206903
TFC,stock,"Truist Financial Corporation",52.665,0.6786465303001278,81.28923936309889,0.047256580184345455,0.7556907189153428,2024521
USB,stock,"U.S. Bancorp",64.797,0.7886140923938261,68.13189907636855,0.03548240501774979,0.6946410823283373,1029154
CB,stock,"Chubb Limited",346.89,-0.05186273662373781,63.053635086961215,0.3461702168883288,0.17037604037802276,339439
PGR,stock,"The Progressive Corporation",209.245,-1.462208617847888,32.14368147720715,1.3925527760318195,0.0002356879375051996,558479
AMGN,stock,"Amgen Inc.",417.6,0.7965242577842171,74.80325840131681,0.1386945061790416,1.3493814532022514,473021
GILD,stock,"Gilead Sciences, Inc.",136.625,0.6297414745525446,57.44131567624421,0.3246569639163666,1.4969165593284184,1744380
